"cruise","cast","niskin","date","latitude","longitude","depth"
"EN608",1,1,2018-01-31 19:34:26,41.19634,-70.87844,17.329
"EN608",1,2,2018-01-31 19:34:45,41.19634,-70.87844,17.48
"EN608",1,3,2018-01-31 19:34:54,41.19634,-70.87844,17.894
"EN608",1,4,2018-01-31 19:37:01,41.19636,-70.87832,12.474
"EN608",1,5,2018-01-31 19:37:05,41.19636,-70.87831,11.591
"EN608",1,6,2018-01-31 19:37:20,41.19636,-70.8783,11.852
"EN608",1,7,2018-01-31 19:38:07,41.19636,-70.87824,12.366
"EN608",1,8,2018-01-31 19:40:35,41.19636,-70.87806,7.375
"EN608",1,9,2018-01-31 19:40:43,41.19636,-70.87806,7.022
"EN608",1,10,2018-01-31 19:40:51,41.19636,-70.87804,7.394
"EN608",1,11,2018-01-31 19:44:50,41.1964,-70.87774,2.993
"EN608",1,12,2018-01-31 19:44:56,41.1964,-70.87772,2.848
"EN608",1,13,2018-01-31 19:45:03,41.19642,-70.87772,2.551
"EN608",1,14,2018-01-31 19:45:09,41.19642,-70.87772,2.983
"EN608",1,15,2018-01-31 19:45:17,41.19642,-70.87772,2.701
"EN608",1,16,2018-01-31 19:45:23,41.19644,-70.8777,2.637
"EN608",1,17,2018-01-31 19:45:30,41.19644,-70.8777,2.922
"EN608",1,18,2018-01-31 19:45:36,41.19644,-70.8777,2.772
"EN608",1,19,2018-01-31 19:45:42,41.19644,-70.87768,2.726
"EN608",1,20,2018-01-31 19:45:50,41.19644,-70.87768,2.743
"EN608",1,21,2018-01-31 19:46:00,41.19646,-70.87768,2.63
"EN608",1,22,2018-01-31 19:46:07,41.19646,-70.87768,2.613
"EN608",1,23,2018-01-31 19:46:14,41.19646,-70.87767,2.698
"EN608",1,24,2018-01-31 19:46:21,41.19646,-70.87766,2.767
"EN608",2,1,2018-02-01 00:35:19,41.0286,-70.65053,9.71285706942828
"EN608",2,2,2018-02-01 00:35:34,41.0286,-70.65042,9.61959043390391
"EN608",2,3,2018-02-01 00:37:55,41.02868,-70.64938,4.0661801737053
"EN608",2,4,2018-02-01 00:38:04,41.0287,-70.6493,3.91833853333025
"EN608",3,1,2018-02-01 03:38:00,41.02574,-71.09488,9.8587114784674
"EN608",3,2,2018-02-01 03:38:10,41.0257,-71.09478,9.59577898453986
"EN608",3,3,2018-02-01 03:39:58,41.02532,-71.09385,6.74914102605972
"EN608",3,4,2018-02-01 03:40:05,41.0253,-71.09378,6.30661375611439
"EN608",4,1,2018-02-01 05:44:26,41.02064,-70.87162,43.662
"EN608",4,2,2018-02-01 05:44:40,41.02056,-70.87158,43.821
"EN608",4,3,2018-02-01 05:47:02,41.0201,-70.87136,29.71
"EN608",4,4,2018-02-01 05:47:15,41.02006,-70.87133,29.595
"EN608",4,5,2018-02-01 05:47:25,41.02002,-70.8713,29.524
"EN608",4,6,2018-02-01 05:47:34,41.01998,-70.87126,29.461
"EN608",4,7,2018-02-01 05:49:28,41.01946,-70.87094,15.368
"EN608",4,8,2018-02-01 05:49:37,41.01943,-70.87094,15.567
"EN608",4,9,2018-02-01 05:49:44,41.01938,-70.87092,15.078
"EN608",4,10,2018-02-01 05:49:51,41.01935,-70.87092,15.215
"EN608",4,11,2018-02-01 05:52:14,41.0187,-70.87068,3.979
"EN608",4,12,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,13,2018-02-01 05:52:30,41.01861,-70.87064,3.462
"EN608",4,14,2018-02-01 05:52:40,41.01856,-70.87062,3.737
"EN608",5,1,2018-02-01 09:24:00,40.85798,-70.88402,44.244
"EN608",5,2,2018-02-01 09:24:09,40.85795,-70.88402,44.874
"EN608",5,3,2018-02-01 09:24:16,40.85793,-70.88402,44.915
"EN608",5,4,2018-02-01 09:24:23,40.8579,-70.88402,44.757
"EN608",5,5,2018-02-01 09:26:50,40.85748,-70.8841,30.037
"EN608",5,6,2018-02-01 09:26:57,40.85744,-70.88412,30.14
"EN608",5,7,2018-02-01 09:27:04,40.85742,-70.88414,30.221
"EN608",5,8,2018-02-01 09:27:15,40.85736,-70.88414,29.857
