cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo
EN608,1,11-12-13-14,a,151,>0,2.13,1.393,122,64.1,0.521,121.479,63.579,6.040948637,1.454863884
EN608,1,11-12-13-14,b,151,>0,2.13,1.393,148,73.8,0.521,147.479,73.279,7.741595663,0.897823732
EN608,1,11-12-13-14,c,151,>0,2.13,1.393,132,70.8,0.521,131.479,70.279,6.385251409,1.900475138
EN608,1,11-12-13-14,a,151,>5,2.13,1.393,115,58.1,0.521,114.479,57.579,5.936614464,0.851812362
EN608,1,11-12-13-14,b,151,>5,2.13,1.393,110,56.2,0.521,109.479,55.679,5.613178527,0.951242829
EN608,1,11-12-13-14,c,151,>5,2.13,1.393,117,58.8,0.521,116.479,58.279,6.072248889,0.798706267
EN608,1,11-12-13-14,a,151,>10,2.13,1.393,103,51.2,0.521,102.479,50.679,5.40451018,0.570423096
EN608,1,11-12-13-14,b,151,>10,2.13,1.393,114,61.4,0.521,113.479,60.879,5.487977519,1.689511439
EN608,1,11-12-13-14,c,151,>10,2.13,1.393,122,60.7,0.521,121.479,60.179,6.395684827,0.6992758
EN608,1,11-12-13-14,a,151,>20,2.13,1.393,100,54.9,0.521,99.479,54.379,4.705471218,1.705683236
EN608,1,11-12-13-14,b,151,>20,2.13,1.393,89.9,56.9,0.521,89.379,56.379,3.443027721,3.203921966
EN608,1,11-12-13-14,c,151,>20,2.13,1.393,87.5,56.1,0.521,86.979,55.579,3.276093043,3.27653855
EN608,5,17-18-19-20,a,151,>0,2.13,1.393,71,44.4,0.501,70.499,43.899,2.775289011,2.400298429
EN608,5,17-18-19-20,b,151,>0,2.13,1.393,68.7,42.1,0.501,68.199,41.599,2.775289011,2.129133912
EN608,5,17-18-19-20,c,151,>0,2.13,1.393,72.5,42.9,0.501,71.999,42.399,3.088291531,1.910449485
EN608,5,17-18-19-20,a,151,>5,2.13,1.393,66.3,34.8,0.501,65.799,34.299,3.286526461,0.757243867
EN608,5,17-18-19-20,b,151,>5,2.13,1.393,59.6,32.5,0.501,59.099,31.999,2.827456098,0.945149713
EN608,5,17-18-19-20,c,151,>5,2.13,1.393,67,34,0.501,66.499,33.499,3.443027721,0.506424514
EN608,5,17-18-19-20,a,151,>10,2.13,1.393,63.3,32.2,0.501,62.799,31.699,3.244792791,0.492443735
EN608,5,17-18-19-20,b,151,>10,2.13,1.393,61.9,31.6,0.501,61.399,31.099,3.161325453,0.505172504
EN608,5,17-18-19-20,c,151,>10,2.13,1.393,62.5,31.5,0.501,61.999,30.999,3.234359374,0.420348821
EN608,5,17-18-19-20,a,151,>20,2.13,1.393,60.6,30.4,0.501,60.099,29.899,3.150892035,0.374128782
EN608,5,17-18-19-20,b,151,>20,2.13,1.393,45.1,24.1,0.501,44.599,23.599,2.191017641,0.591248197
EN608,5,17-18-19-20,c,151,>20,2.13,1.393,45.2,24.7,0.501,44.699,24.199,2.138850554,0.714153853
EN608,8,20-21-22-23,a,151,>0,2.13,1.393,77.3,44,0.505,76.795,43.495,3.474327973,1.653628831
EN608,8,20-21-22-23,b,151,>0,2.13,1.393,71.7,40.6,0.505,71.195,40.095,3.244792791,1.482312118
EN608,8,20-21-22-23,c,151,>0,2.13,1.393,,,,,,,
EN608,8,20-21-22-23,a,151,>5,2.13,1.393,58.1,34,0.505,57.595,33.495,2.514453578,1.434527066
EN608,8,20-21-22-23,b,151,>5,2.13,1.393,49.5,31.5,0.505,48.995,30.995,1.87801512,1.776221484
EN608,8,20-21-22-23,c,151,>5,2.13,1.393,44.6,33.7,0.505,44.095,33.195,1.13724249,2.77636887
EN608,8,20-21-22-23,a,151,>10,2.13,1.393,,,,,,,
EN608,8,20-21-22-23,b,151,>10,2.13,1.393,61.8,33.8,0.505,61.295,33.295,2.921356854,1.004044267
EN608,8,20-21-22-23,c,151,>10,2.13,1.393,,,,,,,
EN608,8,20-21-22-23,a,151,>20,2.13,1.393,58.1,31.8,0.505,57.595,31.295,2.743988759,0.94561713
EN608,8,20-21-22-23,b,151,>20,2.13,1.393,49.5,29.2,0.505,48.995,28.695,2.117983719,1.265088369
EN608,8,20-21-22-23,c,151,>20,2.13,1.393,44.6,31.9,0.505,44.095,31.395,1.325044002,2.376351649
EN608,15,22-23-24,a,151,>0,2.13,1.393,50.5,25.9,0.5475,49.9525,25.3525,2.566620665,0.422378642
EN608,15,22-23-24,b,151,>0,2.13,1.393,52,28.4,0.5475,51.4525,27.8525,2.462286491,0.821456855
EN608,15,22-23-24,c,151,>0,2.13,1.393,50.7,31.3,0.5475,50.1525,30.7525,2.024082963,1.60156347
EN608,15,22-23-24,a,151,>5,2.13,1.393,41.2,19.8,0.5475,40.6525,19.2525,2.23275131,0.03707254
EN608,15,22-23-24,b,151,>5,2.13,1.393,35.6,17.8,0.5475,35.0525,17.2525,1.857148286,0.176880332
EN608,15,22-23-24,c,151,>5,2.13,1.393,,,,,,,
EN608,15,22-23-24,a,151,>10,2.13,1.393,39.4,19.7,0.5475,38.8525,19.1525,2.055383215,0.202650873
EN608,15,22-23-24,b,151,>10,2.13,1.393,35.3,17.5,0.5475,34.7525,16.9525,1.857148286,0.141511048
EN608,15,22-23-24,c,151,>10,2.13,1.393,38.4,19.3,0.5475,37.8525,18.7525,1.992782711,0.218092331
EN608,15,22-23-24,a,151,>20,2.13,1.393,39.6,19.3,0.5475,39.0525,18.7525,2.117983719,0.092891323
EN608,15,22-23-24,b,151,>20,2.13,1.393,39.2,19.2,0.5475,38.6525,18.6525,2.086683467,0.112401813
EN608,15,22-23-24,c,151,>20,2.13,1.393,,,,,,,
EN608,19,21-22-23-24,a,151,>0,2.13,1.393,50.2,34.1,0.541,49.659,33.559,1.763769201,2.390583196
EN608,19,21-22-23-24,b,151,>0,2.13,1.393,42.8,25.3,0.541,42.259,24.759,1.825848034,1.093179038
EN608,19,21-22-23-24,c,151,>0,2.13,1.393,43.4,25,0.541,42.859,24.459,1.91974879,0.963908997
EN608,19,21-22-23-24,a,151,>5,2.13,1.393,25.2,13.3,0.541,24.659,12.759,1.303655496,0.275812969
EN608,19,21-22-23-24,b,151,>5,2.13,1.393,19.7,13.7,0.541,19.159,13.159,0.657305292,0.971680172
EN608,19,21-22-23-24,c,151,>5,2.13,1.393,33.4,17.1,0.541,32.859,16.559,1.785679377,0.264200576
EN608,19,21-22-23-24,a,151,>10,2.13,1.393,26.6,14.5,0.541,26.059,13.959,1.325565673,0.402453789
EN608,19,21-22-23-24,b,151,>10,2.13,1.393,24.5,13.7,0.541,23.959,13.159,1.183149526,0.445835938
EN608,19,21-22-23-24,c,151,>10,2.13,1.393,23.3,12.1,0.541,22.759,11.559,1.226969879,0.203947591
EN608,19,21-22-23-24,a,151,>20,2.13,1.393,23.4,14.3,0.541,22.859,13.759,0.996913026,0.706347936
EN608,19,21-22-23-24,b,151,>20,2.13,1.393,22.6,12.1,0.541,22.059,11.559,1.150284261,0.280633208
EN608,19,21-22-23-24,c,151,>20,2.13,1.393,24.8,14.8,0.541,24.259,14.259,1.09550882,0.66964839
EN608,19,15,a,151,>0,2.13,1.393,38.2,26.8,0.541,37.659,26.259,1.189409576,1.906463919
EN608,19,15,b,151,>0,2.13,1.393,47.3,29.3,0.541,46.759,28.759,1.87801512,1.512602415
EN608,19,15,c,151,>0,2.13,1.393,45.9,27.5,0.541,45.359,26.959,1.91974879,1.258653037
EN608,19,11-12,a,151,>0,2.13,1.393,38.6,23.5,0.541,38.059,22.959,1.575446018,1.131365346
EN608,19,11-12,b,151,>0,2.13,1.393,39.7,25,0.541,39.159,24.459,1.533712348,1.349945439
EN608,19,11-12,c,151,>0,2.13,1.393,36.4,21.9,0.541,35.859,21.359,1.512845514,1.005329664
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
